,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMARY,KM,TAHUN,NO,TYPE,INDIKATOR KINERJA 2026,POLARITAS,SATUAN,UNIT,TARGET BULANAN,,TARGET MINGGU-1 ,TARGET MINGGU-2,TARGET MINGGU-3,TARGET MINGGU-4,TARGET MINGGU-5,,REALISASI MINGGU-1,REALISASI MINGGU-2 ,REALISASI MINGGU-3 ,REALISASI MINGGU-4 ,REALISASI MINGGU-5,,PENCAPAIAN MINGGU-1,PENCAPAIAN MINGGU-2 ,PENCAPAIAN MINGGU-3,PENCAPAIAN MINGGU-4,PENCAPAIAN MINGGU-5,,CARRY OVER MINGGU-1,,,,,,,,,,CARRY OVER MINGGU-2,CARRY OVER MINGGU-3,CARRY OVER MINGGU-4,CARRY OVER MINGGU-5
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirUID JABAR2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,UID JABAR,2.973,,595,595,595,595,595,,,,,,,,,,,,,,419,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirBANDUNG2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,BANDUNG,74,,15,15,15,15,15,,,,,,,,,,,,,,15,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirBEKASI2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,BEKASI,61,,12,12,12,12,12,,,,,,,,,,,,,,12,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirBOGOR2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,BOGOR,189,,38,38,38,38,38,,97,97,64,,,,"110,00%","110,00%","110,00%",,,,-59,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirCIANJUR2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,CIANJUR,320,,64,64,64,64,64,,,,,,,,,,,,,,64,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirCIKARANG2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,CIKARANG,38,,8,8,8,8,8,,,,,,,,,,,,,,8,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirCIMAHI2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,CIMAHI,59,,12,12,12,12,12,,,,,,,,,,,,,,12,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirCIREBON2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,CIREBON,154,,31,31,31,31,31,,,,,,,,,,,,,,31,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirDEPOK2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,DEPOK,95,,19,19,19,19,19,,,,,,,,,,,,,,19,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirGARUT2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,GARUT,167,,33,33,33,33,33,,80,,,,,,"110,00%",,,,,,-47,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirGUNUNG PUTRI2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,GUNUNG PUTRI,117,,23,23,23,23,23,,,,,,,,,,,,,,23,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirINDRAMAYU2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,INDRAMAYU,192,,38,38,38,38,38,,,,,,,,,,,,,,38,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirKARAWANG2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,KARAWANG,181,,36,36,36,36,36,,,,,,,,,,,,,,36,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirMAJALAYA2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,MAJALAYA,270,,54,54,54,54,54,,,,,,,,,,,,,,54,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirPURWAKARTA2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,PURWAKARTA,154,,31,31,31,31,31,,,,,,,,,,,,,,31,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirSUKABUMI2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,SUKABUMI,68,,14,14,14,14,14,,,,,,,,,,,,,,14,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirSUMEDANG2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,SUMEDANG,328,,66,66,66,66,66,,,,,,,,,,,,,,66,,,,,,,,,,,,,
LM-3 Melaksanakan Kegiatan Pemasangan Proteksi PetirTASIKMALAYA2026,4DX,2026,WIG-3,4DX,LM-3 Melaksanakan Kegiatan Pemasangan Proteksi Petir,3,buah,TASIKMALAYA,508,,102,102,102,102,102,,,,,,,,,,,,,,102,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3UID JABAR2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,UID JABAR,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3BANDUNG2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,BANDUNG,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3BEKASI2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,BEKASI,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3BOGOR2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,BOGOR,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3CIANJUR2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,CIANJUR,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3CIKARANG2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,CIKARANG,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3CIMAHI2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,CIMAHI,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3CIREBON2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,CIREBON,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3DEPOK2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,DEPOK,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3GARUT2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,GARUT,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3GUNUNG PUTRI2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,GUNUNG PUTRI,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3INDRAMAYU2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,INDRAMAYU,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3KARAWANG2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,KARAWANG,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3MAJALAYA2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,MAJALAYA,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3PURWAKARTA2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,PURWAKARTA,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3SUKABUMI2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,SUKABUMI,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3SUMEDANG2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,SUMEDANG,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3TASIKMALAYA2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,TASIKMALAYA,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Input Dokumen K3UP2D2026,4DX,2026,WIG-4,4DX,LM-1 Melaksanakan Input Dokumen K3,3,%,UP2D,100%,,100%,100%,100%,100%,100%,,100%,100%,100%,100%,100%,,"100,00%",100%,100%,100%,100%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta UID JABAR2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,UID JABAR,,,93,465,372,465,465,,128,555,737,690,706,,"110,00%","110,0%",110%,110%,,,,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta BANDUNG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,BANDUNG,,,8,40,32,40,40,,9,47,49,50,47,,"110,00%",110%,110%,110%,110%,,-1,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta BEKASI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,BEKASI,,,6,30,24,30,30,,8,35,53,52,51,,"110,00%",110%,110%,110%,110%,,-2,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta BOGOR2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,BOGOR,,,7,35,28,35,35,,7,42,57,52,53,,"100,00%",110%,110%,110%,110%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta CIANJUR2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,CIANJUR,,,5,25,20,25,25,,4,24,26,32,28,,"80,00%",96%,110%,110%,110%,,1,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta CIKARANG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,CIKARANG,,,4,20,16,20,20,,4,17,22,22,23,,"100,00%",85%,110%,110%,110%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta CIMAHI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,CIMAHI,,,7,35,28,35,35,,12,51,57,60,56,,"110,00%",110%,110%,110%,110%,,-5,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta CIREBON2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,CIREBON,,,5,25,20,25,25,,5,28,30,22,38,,"100,00%",110%,110%,88%,110%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta DEPOK2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,DEPOK,,,5,25,20,25,25,,5,21,27,26,25,,"100,00%",84%,110%,104%,100%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta GARUT2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,GARUT,,,5,25,20,25,25,,13,19,33,25,25,,"110,00%",76%,110%,100%,100%,,-8,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta GUNUNG PUTRI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,GUNUNG PUTRI,,,3,15,12,15,15,,3,12,15,15,14,,"100,00%",80%,110%,100%,93%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta INDRAMAYU2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,INDRAMAYU,,,4,20,16,20,20,,4,16,20,20,21,,"100,00%",80%,110%,100%,105%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta KARAWANG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,KARAWANG,,,5,25,20,25,25,,4,23,27,26,27,,"80,00%",92%,110%,104%,108%,,1,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta MAJALAYA2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,MAJALAYA,,,6,30,24,30,30,,7,28,35,36,37,,"110,00%",93%,110%,110%,110%,,-1,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta PURWAKARTA2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,PURWAKARTA,,,5,25,20,25,25,,8,34,54,55,65,,"110,00%",110%,110%,110%,110%,,-3,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta SUKABUMI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,SUKABUMI,,,6,30,24,30,30,,6,24,30,32,33,,"100,00%",80%,110%,107%,110%,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta SUMEDANG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,SUMEDANG,,,4,20,16,20,20,,9,42,47,51,50,,"110,00%",110%,110%,110%,110%,,-5,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta TASIKMALAYA2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,TASIKMALAYA,,,7,35,28,35,35,,20,71,81,101,97,,"110,00%",110%,110%,110%,110%,,-13,,,,,,,,,,,,,
LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta UP2D2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Inspeksi dan Tindak Lanjut temuan pada Aplikasi Inspekta ,3,Kali,UP2D,,,5,5,5,3,5,,0,21,74,13,16,,"0,00%",110%,110%,110%,110%,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVUID JABAR2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,UID JABAR,,,186,930,744,930,930,,281,1.314,1.343,1.410,1.344,,"110,00%","110,0%",110%,110%,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVBANDUNG2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,BANDUNG,,,16,80,64,80,80,,19,92,110,100,97,,"110,00%",,,,,,-3,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVBEKASI2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,BEKASI,,,12,60,48,60,60,,24,155,158,159,160,,"110,00%",,,,,,-12,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVBOGOR2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,BOGOR,,,14,70,56,70,70,,17,70,84,90,96,,"110,00%",,,,,,-3,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVCIANJUR2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,CIANJUR,,,10,50,40,50,50,,16,45,61,59,60,,"110,00%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVCIKARANG2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,CIKARANG,,,8,40,32,40,40,,15,36,40,43,36,,"110,00%",,,,,,-7,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVCIMAHI2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,CIMAHI,,,14,70,56,70,70,,27,152,148,136,142,,"110,00%",,,,,,-13,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVCIREBON2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,CIREBON,,,10,50,40,50,50,,7,35,33,90,52,,"70,00%",,,,,,3,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVDEPOK2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,DEPOK,,,10,50,40,50,50,,10,52,53,53,50,,"100,00%",,,,,,0,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVGARUT2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,GARUT,,,10,50,40,50,50,,11,75,81,107,107,,"110,00%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVGUNUNG PUTRI2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,GUNUNG PUTRI,,,6,30,24,30,30,,10,35,43,41,38,,"110,00%",,,,,,-4,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVINDRAMAYU2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,INDRAMAYU,,,8,40,32,40,40,,14,66,46,58,49,,"110,00%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVKARAWANG2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,KARAWANG,,,10,50,40,50,50,,9,54,53,56,59,,"90,00%",,,,,,1,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVMAJALAYA2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,MAJALAYA,,,12,60,48,60,60,,9,66,71,73,67,,"75,00%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVPURWAKARTA2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,PURWAKARTA,,,10,50,40,50,50,,8,58,62,65,61,,"80,00%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVSUKABUMI2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,SUKABUMI,,,12,60,48,60,60,,13,59,64,71,65,,"108,33%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVSUMEDANG2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,SUMEDANG,,,8,40,32,40,40,,50,142,133,113,110,,"110,00%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVTASIKMALAYA2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,TASIKMALAYA,,,14,70,56,70,70,,22,122,103,96,95,,"110,00%",,,,,,,,,,,,,,,,,,,
LM-3 Melaksanakan Input data CCVUP2D2026,4DX,2026,WIG-4,4DX,LM-3 Melaksanakan Input data CCV,3,Kali,UP2D,,,10,10,10,6,10,,0,0,0,0,0,,"0,00%",,,,,,,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumUID JABAR2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,UID JABAR,,,93,465,372,465,465,,118,555,646,659,684,,,,,,,,-25,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumBANDUNG2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,BANDUNG,,,8,40,32,40,40,,9,38,51,47,46,,"110,00%",,,,,,,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumBEKASI2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,BEKASI,,,6,30,24,30,30,,8,24,35,39,37,,"110,00%",,,,,,,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumBOGOR2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,BOGOR,,,7,35,28,35,35,,7,34,42,45,43,,"100,00%",97%,110%,110%,,,0,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumCIANJUR2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,CIANJUR,,,5,25,20,25,25,,4,25,31,29,38,,"80,00%",100%,110%,110%,,,1,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumCIKARANG2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,CIKARANG,,,4,20,16,20,20,,4,16,21,20,22,,"100,00%",,,,,,,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumCIMAHI2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,CIMAHI,,,7,35,28,35,35,,16,71,84,82,85,,"110,00%",110%,110%,110%,,,-9,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumCIREBON2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,CIREBON,,,5,25,20,25,25,,5,26,28,19,35,,"100,00%",104%,110%,76%,,,0,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumDEPOK2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,DEPOK,,,5,25,20,25,25,,5,21,27,25,25,,"100,00%",84%,110%,100%,,,0,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumGARUT2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,GARUT,,,5,25,20,25,25,,4,19,24,25,25,,"80,00%",76%,110%,100%,,,1,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumGUNUNG PUTRI2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,GUNUNG PUTRI,,,3,15,12,15,15,,3,14,16,15,16,,"100,00%",93%,110%,100%,,,0,,,,,,,,,,,,,
LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umumINDRAMAYU2026,4DX,2026,WIG-4,4DX,LM-4 Melaksanakan Sosialisasi K3 kepada masyarakat umum,3,Kegiatan,INDRAMAYU,,,4,20,16,20,20,,4,16,20,20,21,,"100,00%",80%,110%,100%,,,0,,,,,,,,,,,,,
